CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
0.0,0.0,4.185088095478411e-12,-2.1237246499294997,0.006691839602623936,0.0,0.02,4250.0,0.0
769.1262283429135,642.7558718715303,534.9244436172669,-2328.0511486985124,0.006371434042291734,1.0,0.02,4200.0,3.5682435870027843e-05
1408.175950213927,1134.5929449365303,913.5049602101839,-4231.946731072829,0.00613007023519823,2.0,0.02,4200.0,7.13013232899229e-05
1959.0028154442953,1523.6699554441286,1189.3914529517344,-5838.796476370058,0.005919069190579361,3.0,0.02,4200.0,0.00010685688820990892
2445.018718076918,1837.3931897376608,1393.1461297024196,-7225.455012290935,0.005731932085258561,4.0,0.02,4200.0,0.0001423493553772791
2880.9347262930382,2093.352099156072,1544.125717805639,-8442.445986650164,0.0055640654463630914,5.0,0.02,4200.0,0.0001777789483449199
3276.7161222178756,2303.606998550438,1655.4378894427414,-9524.770071561667,0.0054120932967406665,6.0,0.02,4200.0,0.00021314588947975957
3639.4898891413504,2476.8070904734914,1736.3776100577022,-10497.70945359009,0.005250820491443757,7.0,0.02,4150.0,0.00024845039997114225
3974.5596866463775,2619.6915245200435,1793.7177230481116,-11380.262676046652,0.005124730291352731,8.0,0.02,4150.0,0.00028369269983912767
4285.996507045703,2737.114926722873,1832.5523126514743,-12186.576732645313,0.005008273295377337,9.0,0.02,4150.0,0.0003188730079427189
4577.001768858415,2833.3347353534823,1856.7954074119295,-12927.913552683043,0.004900200814305483,10.0,0.02,4150.0,0.0003539915419880172
4850.146803445078,2911.3457323943067,1869.464278072516,-13613.244576490077,0.004799489593287392,11.0,0.02,4150.0,0.0003890485185363046
5107.534692414625,2974.046454054028,1872.922715549143,-14249.830745035477,0.004705290426190615,12.0,0.02,4150.0,0.0004240441530120581
5350.903454189339,3023.3640550759815,1869.0474611372965,-14843.629802373027,0.00461689076731684,13.0,0.02,4150.0,0.00045897865971089135
5581.7128960096,3061.4392559248,1859.3365680165007,-15399.589190835854,0.004533686921851547,14.0,0.02,4150.0,0.0004938522518074282
5801.200929402668,3089.54133763321,1844.9940587115236,-15921.861314175963,0.004455162838596654,15.0,0.02,4150.0,0.0005286651413631086
6010.427041452868,3109.1816210303055,1826.9923681935675,-16413.964117632568,0.004380874008517332,16.0,0.02,4150.0,0.0005634175393339245
6210.305534414122,3121.403337495259,1806.1653723178888,-16878.903065426406,0.004310434985074022,17.0,0.02,4150.0,0.0005981096555780908
6401.6326475686,3127.128399086873,1783.1344652207006,-17319.33334323675,0.004228667680404726,18.0,0.02,4100.0,0.000632741698863649
6585.104620882426,3127.3963148882303,1758.4013586257802,-17737.4627524615,0.004165398955517927,19.0,0.02,4100.0,0.0006673138768760085
6761.333449257454,3122.7356247007183,1732.3942499570671,-18135.206971202526,0.004105058217139885,20.0,0.02,4100.0,0.0007018263962254038
6930.8623261588455,3113.8173723091973,1705.5118743982086,-18514.28368085878,0.00404741730383147,21.0,0.02,4100.0,0.000736279462454328
7094.176490148773,3101.3499396894545,1678.0172823634932,-18876.206933679554,0.003992272844252302,22.0,0.02,4100.0,0.0007706732800448598
7251.708884415088,3085.665302132414,1650.122368665632,-19222.319184693224,0.003939443060368946,23.0,0.02,4100.0,0.0008050080524259507
7403.844944943329,3067.205144881477,1622.0431031131852,-19553.814586859655,0.003888764491267621,24.0,0.02,4100.0,0.0008392839819806442
7550.938480697514,3046.4159700435202,1593.958852554417,-19871.761327815417,0.0038400900266114353,25.0,0.02,4100.0,0.0008735012700532328
7693.304469835798,3023.641375896095,1565.9516738767368,-20177.11699824636,0.0037932864324574473,26.0,0.02,4100.0,0.0009076601169563551
